Document Title,Topic 0 Weight,Topic 1 Weight,Topic 2 Weight,Topic 3 Weight,Topic 4 Weight,Topic 5 Weight,Topic 6 Weight,Topic 7 Weight,Topic 8 Weight,Topic 9 Weight,Topic 10 Weight,Topic 11 Weight,Topic 12 Weight,Topic 13 Weight,Topic 14 Weight
Voyant分析用最終版_0101,1.715266,38.250428,1.886793,13.03602,7.204117,1.715266,1.715266,1.715266,3.259005,13.722126,1.715266,5.145798,1.715266,2.744426,4.459691
Voyant分析用最終版_0102,4.115227,4.115227,4.115227,4.115227,12.757201,4.115227,4.115227,4.115227,4.115227,28.395063,4.115227,4.115227,7.81893,4.115227,5.761317
Voyant分析用最終版_0103,4.471545,4.065041,4.065041,4.065041,4.471545,4.065041,4.065041,4.065041,20.731707,17.886178,4.065041,4.065041,11.788618,4.065041,4.065041
Voyant分析用最終版_0104,1.935484,0.921659,1.198157,3.59447,2.764977,0.921659,0.921659,27.00461,0.921659,36.682028,5.529954,0.921659,0.921659,1.013825,14.746544
Voyant分析用最終版_0105,3.546099,3.546099,3.546099,3.546099,10.283688,3.546099,3.546099,3.546099,17.730497,23.758866,3.900709,3.546099,8.865248,3.546099,3.546099
Voyant分析用最終版_0106,1.081081,1.081081,2.054054,6.810811,1.081081,1.081081,1.081081,7.45946,60.324323,3.459459,6.486487,2.054054,3.783784,1.081081,1.081081
Voyant分析用最終版_0107,3.033268,3.131115,0.978474,29.549903,0.978474,0.978474,1.46771,15.459883,22.309197,5.577299,4.207436,7.338552,0.978474,1.076321,2.935421
Voyant分析用最終版_0108,1.315789,1.315789,1.315789,5,1.315789,1.315789,1.315789,32.23684,11.710526,32.76316,1.447368,1.315789,1.315789,1.842105,4.473684
Voyant分析用最終版_0109,4.895105,3.496503,3.496503,3.496503,3.496503,3.496503,3.496503,6.643356,11.888112,27.622378,6.993007,3.496503,10.489511,3.496503,3.496503
Voyant分析用最終版_0110,7.037037,3.703704,3.703704,3.703704,6.666667,3.703704,3.703704,11.481482,14.074074,12.592593,3.703704,3.703704,3.703704,3.703704,14.814815
Voyant分析用最終版_0111,3.424658,3.424658,3.424658,3.424658,17.80822,3.767123,3.424658,3.424658,3.424658,30.136988,3.424658,3.424658,10.616438,3.424658,3.424658
Voyant分析用最終版_0112,2.188184,11.159737,2.188184,2.188184,3.063457,2.844639,2.188184,8.09628,2.188184,28.66521,2.844639,3.063457,2.407002,13.129103,13.785557
Voyant分析用最終版_0113,0.869565,6,0.869565,4.608696,2.521739,0.869565,0.869565,9.304348,17.47826,4.347826,35.304347,1.304348,11.652174,2.086957,1.913044
Voyant分析用最終版_0114,5.494505,10.439561,5.494505,5.494505,5.494505,5.494505,5.494505,12.087912,5.494505,11.538462,5.494505,5.494505,5.494505,5.494505,5.494505
Voyant分析用最終版_0115,0.869565,51.13043,0.869565,9.913044,0.869565,0.956522,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,26.434782,2.869565
Voyant分析用最終版_0116,1.119821,1.119821,1.119821,1.119821,27.771556,1.119821,1.119821,25.531915,1.119821,18.029115,1.119821,1.119821,2.015677,1.119821,15.453528
Voyant分析用最終版_0117,4.444445,4.444445,4.444445,4.444445,4.444445,4.444445,4.444445,4.444445,12.888889,13.777778,4.444445,4.444445,20,4.444445,4.444445
Voyant分析用最終版_0118,4.149378,4.149378,4.149378,4.149378,4.149378,4.149378,4.149378,9.128631,4.149378,24.896266,4.149378,4.149378,4.149378,4.564316,15.767635
Voyant分析用最終版_0119,1.805054,1.805054,1.805054,1.805054,6.6787,1.805054,1.805054,15.162455,39.711192,1.805054,3.249098,1.805054,1.98556,1.805054,16.96751
Voyant分析用最終版_0120,2.409639,2.409639,2.409639,2.409639,40,2.409639,2.409639,2.650602,3.855422,19.277108,2.409639,2.409639,10.120482,2.409639,2.409639
Voyant分析用最終版_0121,3.030303,3.030303,3.030303,3.636363,3.030303,3.030303,3.030303,3.030303,5.454546,23.030303,16.969697,3.030303,20.60606,3.030303,3.030303
Voyant分析用最終版_0122,3.825137,2.550091,1.821494,3.278688,45.71949,1.821494,2.003643,7.468124,1.821494,6.193078,3.278688,9.471767,1.821494,1.821494,7.103825
Voyant分析用最終版_0123,0.869565,5.304348,8.956522,3.043478,56.69565,1.217391,0.869565,1.043478,0.869565,9.130435,0.869565,1.913044,5.826087,0.869565,2.521739
Voyant分析用最終版_0124,3.401361,3.401361,3.401361,3.401361,34.013605,3.401361,3.401361,3.401361,3.401361,10.544217,3.401361,3.401361,14.62585,3.401361,3.401361
Voyant分析用最終版_0125,3.246753,3.246753,3.246753,3.246753,3.246753,3.246753,3.246753,8.116883,6.818182,23.701298,5.519481,3.246753,23.376623,3.246753,3.246753
Voyant分析用最終版_0126,2.890173,2.890173,2.890173,2.890173,28.901735,4.913295,4.046243,14.739884,9.537572,8.959538,2.890173,4.33526,4.33526,2.890173,2.890173
Voyant分析用最終版_0127,1.40647,19.268636,1.40647,19.690576,1.40647,1.40647,1.40647,1.40647,1.40647,9.142053,1.969058,1.40647,1.40647,29.957807,7.313643
Voyant分析用最終版_0128,8.914729,3.875969,3.875969,3.875969,7.364341,3.875969,3.875969,3.875969,3.875969,28.68217,3.875969,3.875969,11.627907,4.651163,3.875969
Voyant分析用最終版_0129,4.291845,4.291845,4.291845,4.291845,4.291845,4.291845,4.291845,4.291845,9.44206,18.025751,4.291845,4.291845,21.030043,4.291845,4.291845
Voyant分析用最終版_0130,3.859649,3.508772,3.508772,3.508772,3.508772,3.508772,3.508772,3.508772,12.631579,33.684212,3.508772,3.508772,11.22807,3.508772,3.508772
Voyant分析用最終版_0131,2.159827,2.159827,2.159827,3.239741,5.615551,2.159827,2.159827,6.479482,49.892008,2.159827,2.807775,2.159827,2.159827,2.159827,12.526998
Voyant分析用最終版_0132,3.033708,1.123595,1.123595,1.123595,5.05618,1.123595,1.123595,23.932584,20.449439,27.30337,6.516854,2.134831,1.123595,1.235955,3.595506
Voyant分析用最終版_0133,2.604167,2.604167,2.604167,2.604167,2.604167,6.25,2.604167,3.90625,55.46875,5.729167,2.604167,2.604167,2.604167,2.604167,2.604167
Voyant分析用最終版_0134,2.86533,2.86533,3.724928,2.86533,2.86533,2.86533,2.86533,2.86533,59.02579,2.86533,2.86533,2.86533,2.86533,2.86533,2.86533
Voyant分析用最終版_0135,2.923977,4.385965,2.923977,2.923977,3.508772,4.97076,2.923977,7.602339,46.783626,2.923977,3.216374,2.923977,6.140351,2.923977,2.923977
Voyant分析用最終版_0136,7.236842,1.809211,1.644737,1.973684,11.18421,1.644737,1.644737,24.177632,1.644737,5.921053,1.973684,1.644737,5.098684,1.644737,30.756578
Voyant分析用最終版_0137,1.114827,8.807135,1.560758,6.577481,2.675585,2.118172,1.114827,8.138239,1.449275,7.134894,32.329988,2.564103,16.38796,4.682274,3.344481
Voyant分析用最終版_0138,8.583691,3.862661,4.506438,2.145923,33.90558,2.145923,2.575107,7.725322,2.145923,21.67382,2.145923,2.145923,2.145923,2.145923,2.145923
Voyant分析用最終版_0139,2.659575,2.659575,2.659575,2.925532,2.659575,2.659575,2.659575,5.851064,59.30851,2.659575,2.659575,2.659575,2.659575,2.659575,2.659575
Voyant分析用最終版_0140,2.747253,2.747253,2.747253,3.021978,2.747253,2.747253,2.747253,9.065934,54.94506,2.747253,2.747253,2.747253,2.747253,2.747253,2.747253
Voyant分析用最終版_0141,4.255319,6.382979,4.255319,4.255319,4.255319,4.255319,4.255319,4.255319,22.553192,4.255319,4.255319,4.255319,20,4.255319,4.255319
Voyant分析用最終版_0142,2.544529,2.544529,2.544529,2.544529,5.343511,2.544529,2.544529,4.834606,59.28753,2.544529,2.544529,2.544529,2.544529,2.544529,2.544529
Voyant分析用最終版_0143,2.506266,2.506266,2.506266,3.258145,2.506266,2.506266,2.506266,8.77193,53.13283,2.506266,7.26817,2.506266,2.506266,2.506266,2.506266
Voyant分析用最終版_0144,2.463054,2.463054,2.463054,2.463054,2.463054,2.463054,2.463054,3.694581,46.059114,2.463054,17.24138,2.463054,5.91133,2.463054,2.463054
Voyant分析用最終版_0145,2.624672,2.624672,5.249344,2.624672,3.937008,2.624672,2.624672,2.624672,55.380577,2.624672,2.624672,3.937008,2.624672,2.624672,5.249344
Voyant分析用最終版_0146,2.777778,5,2.777778,19.444445,21.388888,2.777778,2.777778,2.777778,8.055556,5,2.777778,16.111112,2.777778,2.777778,2.777778
Voyant分析用最終版_0147,4.366812,4.366812,4.366812,4.366812,4.366812,4.366812,4.366812,4.366812,21.39738,12.227074,4.366812,4.366812,13.9738,4.366812,4.366812
Voyant分析用最終版_0148,1.913044,0.869565,0.869565,1.217391,42.956522,0.869565,0.869565,16.956522,16.26087,12.173913,0.869565,0.869565,0.869565,0.869565,1.565217
Voyant分析用最終版_0149,3.289474,5.921053,3.289474,3.289474,23.684211,3.618421,3.618421,3.289474,3.289474,24.013157,3.289474,3.289474,9.539474,3.289474,3.289474
Voyant分析用最終版_0150,3.163017,2.43309,2.43309,2.43309,3.163017,2.43309,2.43309,18.004866,15.571776,28.710464,4.136253,2.43309,2.43309,2.43309,7.785888
Voyant分析用最終版_0151,3.937008,3.937008,3.937008,3.937008,3.937008,3.937008,3.937008,3.937008,23.228346,14.173229,4.330709,3.937008,14.96063,3.937008,3.937008
Voyant分析用最終版_0152,3.472222,3.472222,3.472222,3.472222,5.902778,3.472222,3.472222,3.472222,19.791667,10.763889,3.472222,3.472222,19.791667,9.027778,3.472222
Voyant分析用最終版_0153,0.869565,37.73913,0.869565,4.086956,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,47.043478,1.565217
Voyant分析用最終版_0154,2.666667,2.666667,2.666667,7.2,7.733333,2.666667,2.666667,14.666666,6.4,34.4,4.533333,3.2,2.666667,2.666667,3.2
Voyant分析用最終版_0155,3.802281,3.802281,3.802281,3.802281,18.631178,3.802281,3.802281,3.802281,11.787073,20.152092,3.802281,3.802281,7.604563,3.802281,3.802281
